handle,party_id,ideological_lean,party_id_label,ideological_lean_label,total_posts,n_days_observed
tw_user_4022,-3.0,-3.0,Strong Democrat,1 Very liberal,2119,737
tw_user_2746,3.0,2.0,Strong Republican,6 Conservative,56,737
tw_user_6254,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,18,737
tw_user_4299,3.0,3.0,Strong Republican,7 Very conservative,3063,737
tw_user_6703,3.0,3.0,Strong Republican,7 Very conservative,2127,737
tw_user_7111,-3.0,-3.0,Strong Democrat,1 Very liberal,446,737
tw_user_6813,3.0,3.0,Strong Republican,7 Very conservative,21,737
tw_user_4826,2.0,-1.0,Not very strong Republican,3 Somewhat liberal,182,737
tw_user_8425,1.0,2.0,Closer to the Republican party,6 Conservative,180,737
tw_user_9665,3.0,3.0,Strong Republican,7 Very conservative,31172,737
tw_user_7987,-3.0,-3.0,Strong Democrat,1 Very liberal,4322,737
tw_user_3010,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,132,737
tw_user_4148,3.0,2.0,Strong Republican,6 Conservative,180,737
tw_user_2860,-3.0,-3.0,Strong Democrat,1 Very liberal,117,737
tw_user_6307,3.0,3.0,Strong Republican,7 Very conservative,11720,737
tw_user_1086,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,1909,737
tw_user_4212,2.0,0.0,Not very strong Republican,4 Middle of the road,101,737
tw_user_9741,1.0,1.0,Closer to the Republican party,5 Somewhat conservative,88,737
tw_user_8192,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,1234,737
tw_user_6804,-1.0,-2.0,Closer to the Democratic party,2 Liberal,270,737
tw_user_1476,0.0,0.0,Independent,4 Middle of the road,495,737
tw_user_1304,0.0,2.0,Independent,6 Conservative,474,737
tw_user_3768,-3.0,-2.0,Strong Democrat,2 Liberal,368,737
tw_user_8124,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,160,737
tw_user_7586,0.0,1.0,Independent,5 Somewhat conservative,56,737
tw_user_8839,-3.0,-3.0,Strong Democrat,1 Very liberal,1428,737
tw_user_1813,0.0,0.0,Independent,4 Middle of the road,42,737
tw_user_4500,0.0,-3.0,Independent,1 Very liberal,103,737
tw_user_2866,-1.0,1.0,Closer to the Democratic party,5 Somewhat conservative,45,737
tw_user_9589,-3.0,0.0,Strong Democrat,4 Middle of the road,310,737
tw_user_4345,1.0,2.0,Closer to the Republican party,6 Conservative,162,737
tw_user_1666,3.0,2.0,Strong Republican,6 Conservative,3396,737
tw_user_1398,1.0,2.0,Closer to the Republican party,6 Conservative,6284,737
tw_user_1906,-2.0,0.0,Not very strong Democrat,4 Middle of the road,433,737
tw_user_3041,-3.0,0.0,Strong Democrat,4 Middle of the road,10720,737
tw_user_6121,3.0,3.0,Strong Republican,7 Very conservative,37,737
tw_user_2706,3.0,2.0,Strong Republican,6 Conservative,5417,737
tw_user_5552,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,29,737
tw_user_5921,-2.0,1.0,Not very strong Democrat,5 Somewhat conservative,5743,737
tw_user_1420,0.0,0.0,Independent,4 Middle of the road,4913,737
tw_user_3848,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,877,737
tw_user_6767,0.0,0.0,Independent,4 Middle of the road,6375,737
tw_user_3041,-3.0,0.0,Strong Democrat,4 Middle of the road,10720,737
tw_user_9281,-3.0,-2.0,Strong Democrat,2 Liberal,87,737
tw_user_9474,-3.0,-3.0,Strong Democrat,1 Very liberal,433,737
tw_user_3816,3.0,2.0,Strong Republican,6 Conservative,1016,737
tw_user_8468,2.0,2.0,Not very strong Republican,6 Conservative,616,737
tw_user_3347,-3.0,-2.0,Strong Democrat,2 Liberal,1085,737
tw_user_2856,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,7024,737
tw_user_2511,0.0,0.0,Independent,4 Middle of the road,18300,737
tw_user_5038,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,2554,737
tw_user_3807,3.0,2.0,Strong Republican,6 Conservative,462,737
tw_user_8336,0.0,0.0,Independent,4 Middle of the road,5,737
tw_user_8240,1.0,1.0,Closer to the Republican party,5 Somewhat conservative,561,737
tw_user_2246,3.0,2.0,Strong Republican,6 Conservative,1725,737
tw_user_6846,-3.0,-3.0,Strong Democrat,1 Very liberal,27,737
tw_user_2685,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,1002,737
tw_user_2744,,1.0,No party,5 Somewhat conservative,2449,737
tw_user_5865,0.0,-1.0,Independent,3 Somewhat liberal,3411,737
tw_user_6020,-3.0,-3.0,Strong Democrat,1 Very liberal,139,737
tw_user_7287,1.0,1.0,Closer to the Republican party,5 Somewhat conservative,959,737
tw_user_6855,3.0,3.0,Strong Republican,7 Very conservative,26,737
tw_user_9381,3.0,3.0,Strong Republican,7 Very conservative,7561,737
tw_user_3541,-3.0,0.0,Strong Democrat,4 Middle of the road,8848,737
tw_user_6255,-2.0,0.0,Not very strong Democrat,4 Middle of the road,1067,737
tw_user_2545,3.0,-2.0,Strong Republican,2 Liberal,5476,737
tw_user_5076,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,7158,737
tw_user_8901,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,6566,737
tw_user_5197,3.0,3.0,Strong Republican,7 Very conservative,1388,737
tw_user_3158,0.0,0.0,Independent,4 Middle of the road,1241,737
tw_user_2076,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,50,737
tw_user_4635,-3.0,0.0,Strong Democrat,4 Middle of the road,7710,737
tw_user_2233,,0.0,No party,4 Middle of the road,509,737
tw_user_9684,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,6110,737
tw_user_4463,-2.0,-2.0,Not very strong Democrat,2 Liberal,4068,737
tw_user_3090,-3.0,-2.0,Strong Democrat,2 Liberal,527,737
tw_user_8593,-3.0,0.0,Strong Democrat,4 Middle of the road,3870,737
