handle,party_id,ideological_lean,party_id_label,ideological_lean_label,total_posts,n_days_observed
tw_user_8023,-3.0,-3.0,Strong Democrat,1 Very liberal,6300,737
tw_user_7996,1.0,-1.0,Closer to the Republican party,3 Somewhat liberal,42,737
tw_user_9496,-3.0,-2.0,Strong Democrat,2 Liberal,1183,737
tw_user_6239,3.0,3.0,Strong Republican,7 Very conservative,1243,737
tw_user_6580,1.0,0.0,Closer to the Republican party,4 Middle of the road,701,737
tw_user_4825,2.0,2.0,Not very strong Republican,6 Conservative,18,737
tw_user_6774,-2.0,0.0,Not very strong Democrat,4 Middle of the road,2073,737
tw_user_2682,0.0,0.0,Independent,4 Middle of the road,202,737
tw_user_5515,0.0,1.0,Independent,5 Somewhat conservative,1480,737
tw_user_8540,-2.0,0.0,Not very strong Democrat,4 Middle of the road,250,737
tw_user_3507,0.0,0.0,Independent,4 Middle of the road,206,737
tw_user_6654,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,2313,737
tw_user_1858,1.0,2.0,Closer to the Republican party,6 Conservative,10894,737
